trade_date,open,high,low,close,vol
2023-07-21,40.48,40.71,40.1,40.34,69503.29
2023-07-24,40.34,40.81,40.03,40.27,73580.67
2023-07-25,40.55,40.65,40.11,40.58,79605.87
2023-07-26,40.53,40.66,40.31,40.45,53419.82
2023-07-27,40.63,41.06,40.2,40.27,88007.28
2023-07-28,40.12,40.71,39.72,40.56,108605.58
2023-07-31,40.56,40.94,40.18,40.44,137488.44
2023-08-01,40.48,40.99,40.45,40.6,106319.82
2023-08-02,40.42,40.7,39.79,39.85,123267.84
2023-08-03,39.83,40.0,39.72,39.89,86140.77
2023-08-04,40.13,40.44,39.8,40.0,74380.54
2023-08-07,40.0,40.04,39.7,39.93,78225.56
2023-08-08,39.92,40.15,39.4,40.02,87015.12
2023-08-09,39.9,40.19,39.82,40.18,81284.34
2023-08-10,40.18,40.54,39.79,39.91,76596.31
2023-08-11,39.9,39.99,39.13,39.18,77936.68
2023-08-14,38.91,39.55,38.91,39.53,69984.69
2023-08-15,39.4,39.62,38.62,38.8,88387.62
2023-08-16,38.79,38.87,38.03,38.08,78807.61
2023-08-17,38.02,39.98,37.75,39.81,213234.4
2023-08-18,39.6,40.19,39.4,39.55,96007.91
2023-08-21,39.68,39.84,38.62,38.7,69964.21
2023-08-22,38.75,39.77,38.6,39.5,101233.92
2023-08-23,39.3,39.51,38.22,38.24,95931.34
2023-08-24,38.26,38.88,37.83,38.42,70713.8
2023-08-25,38.25,38.85,37.52,37.75,88986.0
2023-08-28,39.99,40.09,37.67,37.8,137811.59
2023-08-29,37.8,39.2,37.8,38.8,112367.86
2023-08-30,38.81,39.45,38.81,39.26,133335.07
2023-08-31,39.32,39.5,38.97,39.24,82378.88
2023-09-01,39.32,39.35,38.78,38.91,69548.25
2023-09-04,39.14,39.85,39.14,39.63,90932.37
2023-09-05,39.6,39.84,39.41,39.57,59634.3
2023-09-06,39.57,40.15,39.2,39.93,101326.51
2023-09-07,39.79,39.96,39.39,39.4,83584.96
2023-09-08,39.4,40.13,39.36,39.76,97532.24
2023-09-11,39.76,39.8,38.9,39.05,132645.53
2023-09-12,39.07,39.09,38.52,38.94,75969.68
2023-09-13,38.81,38.92,38.16,38.53,80184.04
2023-09-14,38.5,38.76,38.35,38.51,55372.6
2023-09-15,38.6,38.67,38.18,38.34,65503.62
2023-09-18,38.26,38.42,37.93,38.0,65094.91
2023-09-19,37.97,38.1,37.53,37.59,79363.54
2023-09-20,37.51,37.67,36.7,36.71,119207.7
2023-09-21,36.78,37.26,36.5,36.51,102033.71
2023-09-22,36.42,37.3,36.4,37.14,97585.12
2023-09-25,37.09,37.31,36.66,36.72,72754.25
2023-09-26,36.7,36.78,36.45,36.51,46643.32
2023-09-27,36.49,36.98,36.47,36.58,54580.19
2023-09-28,36.74,37.2,36.5,37.15,86670.0
2023-10-09,37.21,37.47,36.73,37.23,94658.08
2023-10-10,37.24,37.56,36.94,37.14,61388.49
2023-10-11,37.21,37.21,36.23,36.46,121084.12
2023-10-12,36.55,36.95,36.55,36.92,73086.01
2023-10-13,36.8,36.8,35.89,36.1,93975.14
2023-10-16,36.16,36.33,35.7,35.82,77251.52
2023-10-17,35.75,35.95,35.28,35.9,70968.67
2023-10-18,35.72,35.87,35.15,35.19,66448.0
2023-10-19,35.05,35.39,34.42,34.49,107704.09
2023-10-20,34.36,34.67,34.07,34.28,102308.29
2023-10-23,34.27,34.74,33.94,34.25,99280.48
2023-10-24,34.3,34.55,33.82,34.37,79162.5
2023-10-25,34.56,35.25,34.5,35.02,95115.71
2023-10-26,34.87,35.31,34.63,35.28,59003.4
2023-10-27,35.25,35.66,34.95,35.43,77586.78
2023-10-30,35.15,35.5,35.03,35.24,93416.83
2023-10-31,35.23,35.49,35.1,35.35,66795.46
2023-11-01,35.39,35.45,35.0,35.02,78057.19
2023-11-02,35.07,35.26,34.62,34.66,74462.2
2023-11-03,34.7,35.22,34.66,35.17,65369.97
2023-11-06,35.3,35.88,35.19,35.69,117371.83
2023-11-07,35.61,35.94,35.43,35.83,86428.84
2023-11-08,35.83,36.68,35.75,35.98,105585.13
2023-11-09,35.91,36.07,35.67,36.0,61228.54
2023-11-10,35.81,36.21,35.68,36.11,62844.15
2023-11-13,36.18,37.4,35.89,37.31,179995.94
2023-11-14,37.28,37.75,37.1,37.59,134925.98
2023-11-15,37.65,37.76,37.07,37.37,82522.29
2023-11-16,37.3,37.84,37.22,37.25,80446.08
2023-11-17,37.18,37.34,36.85,37.17,72989.66
2023-11-20,37.15,37.69,37.02,37.53,61058.48
2023-11-21,37.59,37.68,37.21,37.29,57767.11
2023-11-22,37.3,37.44,36.93,36.94,43879.91
2023-11-23,36.82,37.07,36.63,36.81,51821.36
2023-11-24,36.81,36.88,36.17,36.27,58684.6
2023-11-27,36.27,36.46,35.98,36.2,70420.71
2023-11-28,36.2,36.4,35.95,36.17,43106.68
2023-11-29,36.15,36.56,35.88,36.14,85942.42
2023-11-30,36.1,36.38,35.63,35.96,72272.37
2023-12-01,35.71,36.31,35.71,36.19,64732.87
2023-12-04,36.31,36.8,36.22,36.44,82237.44
2023-12-05,36.53,36.53,35.38,35.42,89626.01
2023-12-06,35.31,35.86,35.3,35.44,77353.52
2023-12-07,35.4,35.52,34.85,35.05,76823.28
2023-12-08,35.06,35.21,34.56,34.8,106305.97
2023-12-11,34.9,35.91,34.63,35.82,111429.77
2023-12-12,35.64,36.34,35.52,35.8,63867.88
2023-12-13,35.69,36.2,35.57,35.57,60737.97
2023-12-14,35.66,35.8,35.08,35.2,64209.67
2023-12-15,35.0,35.29,34.6,34.61,67975.08
2023-12-18,34.5,34.6,33.88,33.95,73742.09
2023-12-19,34.0,34.21,33.72,33.96,53365.1
2023-12-20,33.96,34.06,32.87,32.89,79857.41
2023-12-21,32.73,33.26,32.41,33.24,78696.2
2023-12-22,33.27,35.23,33.16,34.81,212285.75
2023-12-25,34.8,36.33,34.79,36.19,202263.91
2023-12-26,36.18,36.66,35.19,36.3,194642.35
2023-12-27,36.19,36.55,35.88,36.36,102752.85
2023-12-28,36.5,37.26,36.35,36.84,151008.18
2023-12-29,36.95,37.56,36.76,37.38,132020.27
